chr	marker	number	pos	agp_pos
1	PZA00991.2	m0161	192.5	292560477
1	PZA00235.9	m0162	193.1	292728714
1	PZA00623.3	m0163	193.8	293632982
1	PZA02359.10	m0164	194	293907886
1	PZA01238.1/2	m0166	196.8	294334188
1	PZA01068.1	m0167	196.9	294472282
1	PZA00343.31	m0168	197.2	294646513
1	PHM1275.22	m0169	198	294904517
1	PZA00856.2	m0170	199.4	295785390
1	PZA01239.2	m0172	201	296854565
1	PZA01807.1	m0173	202	297315609
1	PZA00432.4	m0174	202.2	297570665
2	PHM5817.15	m0176	0	1221389
2	PHM1511.14	m0179	5.7	2484113
2	PZA02681.8	m0183	6.4	2795306
2	PZA00902.1	m0185	6.8	3069022
2	PZA02264.5	m0186	7.1	3167167
2	PZB01233.1	m0187	8.5	3375793
2	PZA01211.1	m0188	10	3593641
2	PZA00172.12	m0189	11.5	4177221
2	PZA02208.1	m0191	17.8	5834300
2	PZA02081.1	m0192	18.3	5922951
2	PZA01935.10	m0193	19.5	6470206
2	PZA03747.1	m0194	22.6	7473358
2	PZB00901.3/4	m0196	27.6	9400683
2	PZA02272.3	m0197	28.2	9917332
2	PHM5822.15	m0198	29.8	10429778
2	zfl2.9	m0199	36.2	12543586
2	PZA00108.4	m0200	38.6	13779643
2	PZA01753.1	m0201	40.6	14751283
2	PZA02337.4	m0202	41.5	15507693
2	PZA03559.1	m0203	41.8	15809887
2	PZA02417.2	m0204	47.7	17995662
2	PZA00497.4	m0205	49.8	19837790
2	PZA03228.4	m0206	50.8	20042753
2	PZA03634.1	m0207	52	21203379
2	PHM6111.5	m0208	53.3	21990741
2	PZA01879.1	m0210	53.4	22196521
2	PZA03142.5	m0211	54.9	22896855
2	PZA02080.1	m0212	56.8	24738143
2	PZA01755.1	m0214	56.9	25230461
2	PZA03568.1	m0215	58.8	27790846
2	PZA01374.1	m0216	59.9	28316145
2	PHM4586.12	m0217	61.8	30112852
2	PZA01336.1	m0218	62.2	31394284
2	PZA02058.1	m0219	63	32907268
2	PZA02378.7	m0220	64.1	35040652
2	PZA02496.1	m0222	67.9	40814002
2	PZB00183.4	m0224	69.4	43923548
2	PZA02450.1	m0225	70.4	47575574
2	PZA01820.1	m0226	70.9	48526009
2	PZA02774.1	m0227	71.3	49160886
2	PZA03629.1	m0228	72.1	51785079
2	PZA00635.7	m0230	73.5	59601035
2	PZA02279.1	m0231	73.6	60291604
2	PHM3457.6	m0232	74.8	62804386
2	PZA01902.1	m0234	76.3	89520775
2	PHM13360.13	m0235	76.5	107146433
2	PZA00485.2	m0238	77.1	121241627
2	PHM3626.3	m0239	77.4	125642356
2	PZA02626.1	m0240	79.8	144527767
2	PZA03211.6	m0242	80.6	148837830
2	PZA01280.2	m0243	80.7	149428368
2	PZA01537.2	m0244	81.2	150983970
2	PZA01232.1	m0245	81.7	155867789
2	PZA02465.1	m0247	82.5	161878369
2	PZA01321.1	m0248	82.8	164562713
2	PZA02371.6	m0249	83.1	165837208
2	PZA03692.1	m0250	83.3	166660003
2	PZA01638.1	m0251	84	168860090
2	PZA03644.1	m0255	84.2	170899948
2	vdac1a.1	m0256	85.5	173767580
2	PZA00224.4	m0258	86.9	176000840
2	PZA03184.2	m0259	90.1	179826183
2	PZA01735.1	m0260	91.5	181783996
2	PZA03529.1	m0262	97.5	186511823
2	PZA02890.4	m0263	98.9	187225285
2	PHM3055.9	m0264	103.7	192601949
2	PZA00824.2	m0265	105.3	193997108
2	PHM3668.12	m0266	106.1	195555727
2	PZA02017.1	m0267	106.2	195834903
2	PHM7953.11	m0268	106.3	195939040
2	PZA00803.3	m0269	106.5	196000610
2	PZA02731.1	m0270	107.1	197109711
2	PHM16125.47	m0271	107.5	199411884
2	PHM14412.4	m0273	107.9	200054717
2	PZA03165.1	m0274	109.9	202113283
2	PZA02077.1	m0276	115.3	206554810
2	PZA01885.2	m0277	115.7	206880959
2	PZA02964.7	m0279	117.5	208276766
2	PZA03602.1	m0281	120.5	209504512
2	PZA02456.1	m0282	122.1	210924282
2	PZA00804.1	m0283	123.9	212078915
2	PZA02680.1	m0284	125.9	213669077
2	PZA02471.5	m0285	127.3	214640886
2	PZA00527.10	m0287	129.8	216833144
2	PZA02012.7	m0288	132.4	218287386
2	PZA02453.1	m0289	132.9	219555005
2	PZA00163.4	m0290	134.3	220264474
2	PZA02564.2	m0292	135.1	220938550
2	PZB01013.1	m0293	136.3	222281031
2	PZA01895.1	m0295	139.8	225848165
2	PZA01352.5	m0296	141.3	226450732
2	PZA02727.1	m0297	142.7	227921190
2	PZA02170.1	m0298	151.6	231190534
2	PHM3094.23	m0299	152.5	231709903
3	PZA00309.1	m0303	0	1240070
3	PZA02090.1	m0304	15	4138848
3	PZD00038.2	m0305	18.2	4824987
3	PZA02678.1	m0306	20.1	5232572
3	PZA00100.10	m0307	20.5	5479862
3	PZA03527.1	m0309	22.5	5748096
3	PZA03212.3	m0310	25.4	6547085
3	PZA00749.1	m0311	25.7	6733606
3	PZA02098.2	m0313	29.7	8110013
3	PZA01765.1	m0314	33.7	9599094
3	PZA00508.2	m0315	38.3	11895273
3	PHM4145.18	m0317	50.2	21098409
3	PZA02427.1	m0318	52.1	23999018
3	PHM2343.25	m0319	53.4	27981520
3	PZA00210.1/9	m0320	54.3	29693330
3	PZA03054.5	m0321	54.7	31695641
3	PZA01473.1	m0322	54.8	32081061
3	PZA00348.11	m0323	54.9	32449624
3	zb21.1	m0325	55.5	37537206
3	PZA03070.9	m0330	56	43868335
3	PZA00581.3	m0332	56.4	48748091
3	PZA00279.2	m0333	56.9	52803681
3	PHM15474.5	m0334	57.1	53548772
3	PZA03119.1	m0336	57.3	54128068
3	PZA02589.1	m0337	57.6	57360285
3	PZA00509.1	m0339	57.7	57966979
3	PZA02699.1	m0341	57.9	63847689
3	PZA02134.3	m0342	58	66922430
3	PHM5502.31	m0343	58.1	67283829
3	PZA02742.1	m0344	58.2	97441903
3	PZA02645.2	m0345	58.3	101980199
3	PZA00707.9	m0346	58.9	110715545
3	PZA02619.1	m0347	59.7	120046230
3	PZA03198.3	m0348	60.5	123785002
3	PHM15449.10	m0349	60.8	125078113
3	PZA02299.16	m0351	61.2	130082268
3	PZA00363.7	m0352	61.8	132192350
3	PZD00016.4	m0353	62.4	133481025
3	PHM1745.16	m0356	63.8	140079292
3	PZA00920.1	m0358	64.1	142821158
3	PHM890.20	m0359	65.2	143854211
3	PZB02044.1	m0360	65.4	144466507
3	PZB02122.1	m0361	65.5	145421390
3	PZA01934.6	m0362	67.2	150256427
3	PZA00827.1	m0364	68.9	155566777
3	PZA00948.1	m0365	70.1	157263315
3	PZB02179.1	m0366	70.6	157641323
3	PHM9914.11	m0368	72.9	159995866
3	PZA00667.2	m0369	74.3	161515805
3	PZA01396.1	m0370	75.9	164833603
3	PHM4621.57	m0371	77	165800157
3	PHM2885.31	m0373	77.4	165901836
3	PZA03073.28/26	m0374	79.3	168443415
3	PZA02402.1	m0377	81	169771915
3	PZA03032.19	m0378	82.1	171364777
3	PZA00783.1	m0379	82.3	171821825
3	PZA02212.1	m0381	84.6	174550657
3	PZA01962.12	m0382	90	178229744
3	PZA02654.3	m0384	90.1	178773926
3	PHM1675.29	m0385	92.6	180340618
3	PZA03647.1	m0390	96.9	185318381
3	PZA00494.2	m0391	97.8	186179150
3	PZA01228.2	m0392	100.1	189861370
3	PHM824.17	m0393	100.5	190452098
3	PZA03743.1	m0394	100.6	191863754
3	PHM13673.53	m0396	100.8	192235960
3	PZA03255.1	m0397	101.4	193565815
3	PZB01109.1	m0398	103	194643664
3	PZA01035.1	m0399	103.2	195406935
3	PZA00308.24	m0400	103.7	196191304
3	PZA01457.1	m0401	104	196870259
3	PZA02122.9	m0402	105	197797640
3	PZA01501.1	m0403	106.3	199272139
3	PZA00892.5	m0404	107.7	199886396
3	PZA03154.4	m0405	109.2	202364532
3	PZA02733.1	m0406	111.2	203318354
3	PZA00538.18/15	m0407	115.8	206889951
3	PZA02516.1	m0408	118.4	208179935
3	PZA02616.1	m0409	120.7	210161705
3	PZB01457.1	m0410	123.9	212726258
3	PZA03146.4	m0411	127.7	214273319
3	sh2.21	m0412	128.4	214844908
3	PZA00750.1	m0413	129.8	215844454
3	PZA01154.1	m0414	131.4	216027870
3	PZA02665.2	m0416	132.8	216624333
3	PZA02824.4	m0419	133	217329762
3	PZA02668.2	m0420	134.6	218120235
3	PHM2672.19	m0421	136.8	219860252
3	PZA00402.1	m0424	140.7	221602162
3	PZA00316.10	m0425	145.1	223513294
3	PZA01688.3	m0426	145.3	223670206
3	PZA01360.3	m0428	146	223867220
3	PZA02182.1	m0429	146.8	224184332
3	PHM2423.33	m0430	152.4	227682411
3	PZA00088.3	m0431	154.7	228614432
4	PHM2438.28	m0436	12.2	3547577
4	PHM3301.28	m0437	19.4	5660077
4	PZA00436.7	m0438	21.3	6400901
4	PZA00683.4	m0439	22	6612008
4	PZA00975.1	m0440	25.9	9733618
4	PZA02358.1	m0441	31.6	11329450
4	PZA02138.1	m0442	33.8	11856451
4	PZA01122.1	m0443	33.9	12617911
4	PZA02385.6	m0444	39.2	15274590
4	PHM8527.2	m0445	40.4	17306706
4	PZA00139.4	m0446	43.9	20064775
4	PZA01422.3	m0447	47.7	24475215
4	PZA02002.1	m0449	49.4	28833369
4	PHM15427.11	m0451	52.1	33863040
4	PZA01106.3	m0453	52.8	35051421
4	PZA03385.1	m0459	53.4	37067648
4	PZA01751.2	m0460	53.7	37185366
4	PZA00445.22	m0461	55.2	49713730
4	PZA01759.1	m0462	55.4	60429626
4	bt2.7/4	m0466	55.8	66286659
4	PZA03254.1	m0467	56	73176860
4	PZA03597.1	m0469	56.1	74239704
4	PZA03270.2	m0470	56.3	76123299
4	PZA00218.1	m0471	56.4	78946348
4	PZA02767.1	m0472	56.5	79358967
4	PZA03564.1	m0473	57	86797510
4	PZA03203.2	m0474	57.4	90204048
4	PZA00104.1	m0475	57.7	93812432
4	PZA03231.1	m0476	57.9	104160634
4	PZB00093.7	m0477	58.3	122796360
4	PZA03409.1	m0478	58.6	128632123
4	fea2.3	m0480	58.8	132736020
4	PZA03459.1	m0482	58.9	134292678
4	PZA02147.1	m0483	60.6	143946031
4	PZA03152.3	m0484	61.8	147045311
4	PZA02992.15	m0486	62	149589223
4	PZA00057.2	m0487	65.9	155043682
4	PZA01926.1	m0488	69.8	158126226
4	PZA03116.1	m0489	75.3	166002520
4	PZA00453.2	m0490	76.2	166281413
4	PZA01289.1	m0491	77.2	169608734
4	PHM3155.14	m0492	78.4	170467696
4	PZA00271.1	m0493	80.6	171613479
4	PZA01477.3	m0494	81.6	172300959
4	PZA01681.1	m0496	81.9	172397092
4	PZA03275.4/1	m0497	85.2	174428454
4	PZA01187.1	m0498	89.1	177666469
4	PZD00030.2	m0499	90.7	177976304
4	PHM3637.14	m0500	92.7	179758175
4	PZA01976.9	m0501	92.8	179871302
4	PZA02194.1	m0502	93.2	180309837
4	PZA01766.1	m0504	97.9	183609748
4	PZA01954.1	m0505	98.3	184374021
4	PZA00941.2	m0506	100.5	185561696
4	PZA00344.10	m0507	101.3	193202326
4	PZB01461.1	m0508	102.6	194093328
4	PZA00332.5	m0509	102.9	194749085
4	PHM4348.16	m0510	105	197538475
4	PZA00193.2	m0511	105.4	197964295
4	PZA01790.1	m0512	106.7	202246063
4	PZA03205.1	m0513	107	202883234
4	PZA01810.2	m0514	107.4	203767561
4	PZA01566.1	m0515	107.9	204764641
4	PZA02421.1	m0516	108.1	205427850
4	PZA02614.2	m0517	108.3	206189218
4	PZA02779.1	m0518	108.7	207114367
4	PZA01332.2	m0519	110.1	212893448
4	PZA03081.1	m0520	110.4	215393420
4	PZB01021.1	m0521	110.6	216310578
4	PZA02479.1	m0522	111.3	218367758
4	PZA00155.1	m0523	111.5	220885051
4	PZA03155.3	m0524	112.2	222233607
4	PZA00636.7	m0525	112.5	226884739
4	PZA00521.3	m0528	115.2	234783613
4	PZA00694.6	m0529	116.1	235778962
4	PZA02151.3	m0530	118.4	237337086
4	PZA00513.1	m0531	118.9	238553782
4	PHM5599.20	m0532	119.6	239237325
4	PZA02585.2	m0533	119.8	239454065
4	PHM5665.26	m0534	124.5	240769018
4	PHM2100.21	m0536	126.9	241723585
4	PZA03322.5/3	m0537	128.1	242019824
4	PHM4125.11	m0538	129.3	242313396
4	PZA03598.1	m0539	135.6	243937276
4	PZA01905.12	m0540	136.6	244087628
4	PZA02239.12	m0541	138.1	244721332
4	PZA00682.17/2	m0542	139.7	244992974
5	PZA01887.1	m0544	0	656369
5	PZA02367.1	m0545	0.1	862719
5	PZA00818.1	m0547	0.6	1046918
5	PZA00191.5	m0548	3.5	2124457
5	PZA01438.1	m0549	7.2	2690777
5	PZA02316.22	m0550	9.1	3122686
5	PHM5359.10	m0551	10.1	3376250
5	PZA01570.1	m0552	10.9	3533823
5	PHM13122.43	m0553	13.3	4191020
5	PZA02653.12	m0554	22.1	5917407
5	PZA02462.1	m0555	25.4	6820446
5	PZB00054.3	m0556	26	7086156
5	PZA02753.1	m0557	27.5	7216485
5	PHM3137.17	m0558	28.4	7486613
5	PZA02029.21	m0560	30.3	7956667
5	PZA01925.1	m0562	30.4	8599005
5	PZA00865.1	m0563	30.8	9279736
5	PZB00079.4	m0564	36.5	11737445
5	PZA01284.6	m0565	37.9	11989892
5	PZA00112.5	m0567	41.5	13664426
5	PZA00985.1	m0568	42.7	13981586
5	PZA01327.1	m0569	45.4	15056589
5	PZA01523.1	m0571	47	16208486
5	PZA00517.7	m0572	49	18240588
5	PZA03226.3	m0573	50.8	20089570
5	PZA02792.26/25	m0575	51.8	21771520
5	PZA01427.1	m0576	53.6	23135687
5	PHM565.31	m0577	53.9	24241898
5	PZA00934.2	m0578	56.1	30064332
5	PZA02113.1	m0579	56.2	30239158
5	PZA00801.1	m0580	57.3	31528198
5	PZB00869.4	m0581	57.5	32366351
5	PZA01563.1	m0582	57.6	32599285
5	PZA00499.3	m0584	58	34586609
5	PZA00981.3	m0586	58.3	37029570
5	PHM12992.5	m0590	58.4	38502106
5	PZA02207.1	m0591	60.6	49203578
5	PZA00805.1	m0592	62.3	57508033
5	PZA00522.12/7	m0593	62.4	57933258
5	PZA00222.7	m0595	62.6	58576665
5	PHM1870.20	m0596	63	59299832
5	PZA02676.2	m0598	63.2	60072513
5	PZB01115.3	m0599	63.5	60964158
5	PHM3171.5	m0600	63.6	61405377
5	PZB00232.2	m0601	64	63418226
5	PHM4165.14	m0603	64.4	65741898
5	PZB01112.1	m0604	65	68419481
5	PZA01349.2	m0605	65.4	69319268
5	PZA02525.1	m0606	65.5	69392105
5	PZA03677.1	m0607	65.9	71093280
5	PZA01303.1	m0609	66	72408157
5	PZA00261.6	m0610	66.8	75234464
5	PZA02818.6	m0612	67.5	77679856
5	PZA01779.1	m0613	68.1	81227808
5	PZA00273.5	m0614	68.7	83357403
5	PZA03049.24	m0616	69.5	88605097
5	PZA00643.13	m0617	69.7	91097205
5	PZA00881.1	m0618	70	97952577
5	PZA01365.1	m0620	71.3	139367251
5	PZA00067.10	m0621	72.5	145120913
5	PZB01017.1	m0622	74.5	158032872
5	PZA01608.1	m0623	74.8	158599368
5	PZA01796.1	m0624	75.6	160321863
5	PZA00148.3	m0625	76.9	164230432
5	PZA02981.2	m0626	78.4	166468628
5	ae1.8/7	m0627	79.7	167875726
5	PZA01763.2	m0628	79.8	168080495
5	PZA02641.2	m0629	80.7	168925263
5	PZA00255.14	m0632	81.7	169719924
5	PZA02040.2	m0633	83.3	171389250
5	PZA00300.14	m0634	83.4	171689519
5	PZA00987.1	m0635	84	172230624
5	PZA01410.1	m0636	84.1	172683026
5	PZA03717.1	m0637	87.2	175460187
5	PZA01304.1	m0639	89.1	178584197
5	PZA02633.4	m0641	90.2	179952918
5	PZA02408.2	m0642	90.6	180413725
5	PZA03324.1	m0646	90.8	181256321
5	PZA01575.1	m0647	91.1	182337447
5	PZA03452.6	m0648	91.9	182824175
5	PZA03172.3	m0649	98.2	188293737
5	PZA02383.1	m0650	98.8	189143714
5	PZA02751.1	m0652	99.5	190025819
5	PZA03320.6	m0653	99.7	190229597
5	PZA00352.23	m0654	100.2	191075482
5	PZA02426.1	m0655	101.2	191642269
5	PZA02411.3	m0656	101.5	192326197
5	PHM532.23	m0657	101.9	193208486
5	PZA00652.17	m0658	106.2	198380400
5	PZA03024.16	m0659	106.4	198533864
5	PZA01142.4	m0660	107	199612803
5	PZA02820.17	m0661	108.8	200813429
5	PZA01265.1	m0662	109	201139552
5	PZB00765.1	m0663	110.1	202174871
5	PZA02060.1	m0664	110.2	202342773
5	PZA02513.1	m0665	110.3	202452100
5	PZA02667.1	m0666	110.7	202778187
5	PZA00395.2	m0667	110.9	202847368
5	PZA00980.1	m0670	114.3	203778557
5	PZA02068.1	m0671	115.1	204198394
5	PZA00545.26	m0672	123.1	206664724
5	PZA02015.11	m0673	124.9	207464453
5	PZA03167.5	m0674	125.2	207603579
5	PZA01259.1	m0675	126.4	207926665
5	PZA01680.3	m0676	127.2	208900481
5	PZA00836.1	m0677	132.6	210392066
5	PZA01140.1	m0678	137	211442799
5	PZA02390.1	m0679	138	211884392
5	PZA02480.1	m0680	152.3	214953176
5	PZA02769.1	m0681	153.3	215505721
6	PHM15961.13	m0683	0	9561985
6	PZA00158.2	m0684	5.1	14057068
6	PZA03047.12	m0685	6.9	20837695
6	PZA00440.15/1	m0686	7.1	22404386
6	PZA02948.24	m0687	7.8	25122753
6	PZA01901.1	m0689	8.1	30864679
6	PZA01509.1	m0690	8.2	31891807
6	PZA03120.1	m0691	8.7	57773935
6	PZA01527.1	m0692	8.8	58469703
6	PZA01425.2	m0693	10.7	77189686
6	PZA00355.2	m0694	11.1	78756246
6	PZA00543.12	m0696	11.3	80533790
6	PZA03069.8/4	m0697	11.7	81808210
6	PZA02606.1	m0698	11.8	82066479
6	PZD00072.2	m0699	12.4	83625271
6	PZB01009.2/1	m0700	12.9	84665085
6	PHM2551.31	m0701	13.1	85125042
6	PHM8909.12	m0703	18.6	91883376
6	PZA03488.1	m0705	22.1	95788878
6	PZA00942.2	m0706	27.8	102565657
6	PZB01658.1	m0707	28.7	102953989
6	PZA03461.1	m0708	33.4	107548161
6	PZA01029.1	m0709	41.5	114031334
6	PZA01589.2	m0712	42.1	117238757
6	PZA01736.1	m0713	43.4	118221430
6	PZA00382.17	m0714	43.7	118741566
6	PZA01055.1	m0715	44.4	120059387
6	PZA00571.1	m0717	44.6	120680421
6	PZA01729.1	m0718	45.7	123999177
6	PZA00473.5	m0720	45.9	124407386
6	PZA01591.1	m0721	46.3	125114108
6	PZA01552.1	m0722	48	129967143
6	PZB00414.2	m0724	50	131405672
6	PZA01884.1	m0725	50.7	132316628
6	PZA00357.19	m0726	52.5	134647183
6	PZA02328.5	m0728	53.1	137254574
6	PZA02187.1/2	m0729	54	139105837
6	PZA02478.7	m0730	54.7	141111493
6	PZA02673.1	m0731	55.7	142648551
6	PZA02148.1	m0732	56.3	143876163
6	PZB00942.1	m0733	56.6	144744612
6	PZA03102.9	m0735	57.5	145827778
6	PZA02247.1	m0736	58.2	146544466
6	PHM11985.27	m0737	59.2	147388708
6	PZA01144.1	m0738	59.5	147820827
6	PZA01342.2	m0739	61.4	148798933
6	PZA02436.1	m0740	61.8	149251127
6	PZA01672.1	m0741	70.4	154495275
6	PZA01462.1	m0742	72.3	155546432
6	PZA03027.12	m0743	75.1	156645064
6	PHM5794.13	m0744	75.8	156740036
6	PHM4748.16	m0746	78.6	158539754
6	PZB01569.7	m0747	86.2	160748344
6	PHM4503.25	m0748	86.5	161138465
6	PZA00266.7	m0749	86.7	161570347
6	PZA01468.1	m0750	86.8	161663833
6	PHM7922.8	m0751	94	163119951
6	PZA00889.2	m0752	94.1	163202133
6	PZA00821.1	m0753	95.7	163933327
6	PZA02688.2	m0754	96.4	164081606
6	PZB01222.1	m0755	97.3	164419018
6	PZA02141.1	m0756	101	164999526
6	PZA00910.1	m0757	106.6	166688135
6	PZA01875.1	m0758	108.2	167148301
6	PHM4468.13	m0759	108.3	167527523
7	PZA01426.1	m0761	0	729434
7	PZA02035.5	m0762	7	2585167
7	PHM9241.13	m0763	21.8	5101756
7	PHM3078.12	m0764	26.3	5962857
7	PZA01909.1/2	m0765	28.4	6437744
7	PZA02872.1	m0766	39.9	13059041
7	PZA00256.27	m0767	43.9	17397050
7	PHM4080.15	m0768	44.7	20239871
7	PZA03344.2	m0770	45.8	22002484
7	PHM15501.9	m0771	47.8	32876823
7	PZA00132.17	m0772	48.1	33979343
7	PHM4353.31	m0773	48.2	36392753
7	PZA03687.1	m0774	48.4	40409020
7	PZA00084.2	m0775	49.1	43948118
7	PZA01607.1	m0782	49.2	68051313
7	PZA03645.1	m0787	49.4	73892669
7	PZA02291.1	m0788	49.5	74938393
7	PZA02018.1	m0790	50	86401996
7	PZA01113.1	m0791	50.2	93101912
7	PZA01933.3	m0792	50.7	98070911
7	PZA02236.1	m0793	51.2	101321689
7	PZA02365.7	m0794	61.4	121400796
7	PZA00616.13	m0795	63.2	122625977
7	PZA01690.7	m0796	63.4	123122544
7	PZA01946.7	m0797	63.7	123601881
7	PZA02352.1	m0799	64.9	124599116
7	PZA02643.1	m0800	69.8	128365081
7	PZB00752.1	m0803	71.2	131103742
7	PZA00740.3	m0806	72.7	134061849
7	PZA02449.13	m0808	73.3	134848135
7	PZA03728.1	m0810	75.3	137207831
7	PZA03166.1	m0811	76.2	137633064
7	PZA02854.13	m0812	76.5	137834469
7	PZA00405.7/6	m0814	77	138551744
7	PHM16437.20	m0815	81.1	142889700
7	PZA02722.1	m0816	81.2	143285623
7	PZA03176.4	m0817	89.4	151510266
7	PZA02386.2	m0820	95.2	154593844
7	PZA00795.1	m0821	105.2	159417361
7	PZA02373.1	m0822	110.7	161618391
7	PHM7898.10	m0823	111.8	161993429
7	PZA02223.2	m0824	112.2	162119054
7	PHM10225.15	m0825	112.3	162173913
7	PZA01533.2	m0826	112.7	162382384
7	PZA00505.6	m0827	113.4	162530949
7	PZA01802.3	m0828	114.6	162945464
7	PZA01414.1	m0829	115.4	163380400
7	PZA01028.2	m0830	117.6	164853122
7	PZA00386.4	m0831	117.8	164942017
7	PZA00695.3	m0832	120.4	165518122
7	PZA01278.2	m0834	121.1	166025904
7	PZA00424.1	m0836	134.1	169017086
